CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOC,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3
12/04/2021,12:00,BROOKLYN,11213.0,40.665375,-73.934235,"(40.665375, -73.934235)",CROWN STREET,SCHENECTADY AVENUE,AB,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,AB,4485333,Sedan,Ambulance,AB
12/08/2021,16:20,MANHATTAN,10128.0,40.776237,-73.943825,"(40.776237, -73.943825)",EAST END AVENUE,EAST 88 STREET,AB,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,AB,4485234,Taxi,Station Wagon/Sport Utility Vehicle,AB
12/09/2021,23:15,BROOKLYN,11218.0,40.640835,-73.98967,"(40.640835, -73.98967)",12 AVENUE,41 STREET,AB,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,AB,4485355,Sedan,Bike,AB
12/01/2021,14:34,QUEENS,11692.0,40.593636,-73.797264,"(40.593636, -73.797264)",AB,AB,437 BEACH 68 STREET,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,AB,4485581,Sedan,Pick-up Truck,AB
12/10/2021,7:00,QUEENS,11420.0,40.674263,-73.80453,"(40.674263, -73.80453)",AB,AB,122-42 134 STREET,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,AB,4485866,Sedan,AB,AB
12/07/2021,9:20,AB,0.0,40.70476,-73.96491,"(40.70476, -73.96491)",TAYLOR STREET,AB,AB,0.0,0.0,0,0,0,0,0,0,Steering Failure,AB,AB,4485192,Station Wagon/Sport Utility Vehicle,AB,AB
12/09/2021,8:00,AB,0.0,40.569626,-74.190735,"(40.569626, -74.190735)",WEST SHORE EXPRESSWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,AB,4485214,Sedan,Station Wagon/Sport Utility Vehicle,AB
12/07/2021,17:08,BROOKLYN,11205.0,40.698463,-73.960205,"(40.698463, -73.960205)",FLUSHING AVENUE,KENT AVENUE,AB,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,AB,4485437,AB,AB,AB
12/05/2021,8:20,BROOKLYN,11212.0,40.658413,-73.9171,"(40.658413, -73.9171)",AB,AB,393 ROCKAWAY PARKWAY,0.0,0.0,0,0,0,0,0,0,Unspecified,AB,AB,4485408,Sedan,AB,AB
12/08/2021,19:30,MANHATTAN,10022.0,40.76175,-73.96899,"(40.76175, -73.96899)",AB,AB,127 EAST 58 STREET,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,AB,4484852,Station Wagon/Sport Utility Vehicle,Bike,AB
12/08/2021,12:00,MANHATTAN,10011.0,40.736614,-73.9951,"(40.736614, -73.9951)",AB,AB,44 WEST 14 STREET,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,AB,4485542,Box Truck,Bike,AB
12/10/2021,8:06,AB,0.0,0.0,0.0,"(0,0)",FLATBUSH AVENUE,GRAND ARMY PLAZA,AB,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,AB,4485170,Garbage or Refuse,Sedan,AB
