CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOC,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3
07/07/2021,11:42,AB,0.0,0.0,0.0,"(0,0)",THROGS NECK BRIDGE,AB,AB,1.0,0.0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,AB,4456591,Sedan,Sedan,AB
07/12/2022,17:50,BROOKLYN,11225.0,40.663303,-73.96049,"(40.663303, -73.96049)",AB,AB,44 EMPIRE BOULEVARD,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,AB,4545699,Sedan,AB,AB
03/23/2022,10:00,AB,0.0,0.0,0.0,"(0,0)",AB,AB,71 EAST DRIVE,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,AB,AB,4512922,Bike,AB,AB
07/09/2021,0:43,AB,0.0,40.720535,-73.88885,"(40.720535, -73.88885)",ELIOT AVENUE,AB,AB,0.0,1.0,0,1,0,0,0,0,Unspecified,AB,AB,4456659,Bus,AB,AB
04/24/2022,16:45,AB,0.0,40.607685,-74.13892,"(40.607685, -74.13892)",STATEN ISLAND EXPRESSWAY,AB,AB,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,AB,4521660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,AB
04/24/2022,4:49,AB,0.0,40.855972,-73.869896,"(40.855972, -73.869896)",BOSTON ROAD,BRONX PARK EAST,AB,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,AB,4521759,Station Wagon/Sport Utility Vehicle,Sedan,AB
04/22/2022,17:17,AB,0.0,40.790276,-73.9396,"(40.790276, -73.9396)",EAST 107 STREET,AB,AB,1.0,0.0,1,0,0,0,0,0,Traffic Control Disregarded,AB,AB,4522226,E-Bike,AB,AB
04/24/2022,1:30,BROOKLYN,11220.0,40.642986,-74.01621,"(40.642986, -74.01621)",AB,AB,5610 4 AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,AB,AB,4522015,Station Wagon/Sport Utility Vehicle,AB,AB
04/24/2022,6:00,QUEENS,11411.0,0.0,0.0,"(0.0, 0.0)",AB,AB,116-44 234 STREET,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,AB,4521460,Sedan,Station Wagon/Sport Utility Vehicle,AB
04/24/2022,21:40,BRONX,10452.0,40.843906,-73.92413,"(40.843906, -73.92413)",BOSCOBEL PLACE,UNIVERSITY AVENUE,AB,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,AB,4522156,Taxi,Station Wagon/Sport Utility Vehicle,AB
04/24/2022,17:45,BRONX,10466.0,40.89481,-73.86183,"(40.89481, -73.86183)",BRONX RIVER PARKWAY,EAST 233 STREET,AB,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4521633,Sedan,AB,AB
04/15/2022,6:11,AB,0.0,0.0,0.0,"(0.0, 0.0)",EAST 162 STREET,AB,AB,1.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4522124,Station Wagon/Sport Utility Vehicle,E-Scooter,AB
04/24/2022,9:51,AB,0.0,40.85169,-73.95238,"(40.85169, -73.95238)",CROSS BRONX EXPY,AB,AB,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,AB,4521937,Sedan,AB,AB
